Name,Size,Type,BikeF_15min_Woon,BikeF_15min_Werk,BikeF_15min_Voorzieningen,
Aalten,halte,other,1316058,438168,191931,
Abcoude,basis,ns,2915713,1348887,1084339,
Akkrum,halte,ns,553013,192293,62799,
Alkmaar,mega,ns,6445166,1247046,1348955,
Alkmaar Noord,basis,ns,7281422,1439234,1308285,
Almelo,plus,ns-other,5257257,1465620,975108,
Almelo de Riet,basis,ns-other,4211526,1709582,861587,
Almere Buiten,plus,ns,5994834,1290393,525034,
Almere Centrum,mega,ns,7325572,1469516,898348,
Almere Muziekwijk,basis,ns,7267091,1207533,878313,
Almere Oostvaarders,basis,ns,3873877,974450,307947,
Almere Parkwijk,basis,ns,7527662,1402725,972219,
Almere Poort,basis,ns,5808824,1138360,760407,
Alphen aan den Rijn,basis,ns,5033509,1624345,722258,
Amersfoort Centraal,mega,ns-other,6847431,1625543,1559009,
Amersfoort Schothorst,basis,ns,9325955,1891978,1548852,
Amersfoort Vathorst,basis,ns,6793671,1324820,769854,
Amsterdam Amstel,plus,ns,14403960,3405070,3823510,
Amsterdam Bijlmer ArenA,plus,ns,6404787,2788089,2162566,
Amsterdam Centraal,kathedraal,ns,19119803,3925105,4899812,
Amsterdam Holendrecht,basis,ns,5760175,2008703,1795706,
Amsterdam Lelylaan,plus,ns,14927712,2060564,2793938,
Amsterdam Muiderpoort,basis,ns,14252310,2692519,3898738,
Amsterdam RAI,basis,ns,11780548,3129174,3479695,
Amsterdam Science Park,basis,ns,10472710,1872907,2041257,
Amsterdam Sloterdijk,mega,ns,9351169,3671961,1741891,
Amsterdam Zuid,mega,ns,13876301,3181566,3532019,
Anna Paulowna,basis,ns,973229,253226,107755,
Apeldoorn,plus,ns-other,9948920,2016873,2104472,
Apeldoorn De Maten,halte,other,7061047,1224416,1354322,
Apeldoorn Osseveld,basis,ns,7102782,1399517,1465290,
Appingedam,halte,other,2058863,209158,226115,
Arkel,halte,other,1387658,483453,262630,
Arnemuiden,halte,ns,1019979,343822,229079,
Arnhem Centraal,mega,ns-other,7430926,1870393,1540753,
Arnhem Presikhaaf,halte,ns,6997705,1890773,1527652,
Arnhem Velperpoort,halte,ns-other,8118855,1986036,1676350,
