Name,Size,Type,Walk_15min_Woon,Walk_15min_Werk,Walk_15min_Voorzieningen,
Aalten,halte,other,781195,203136,114082,
Abcoude,basis,ns,376147,68992,40945,
Akkrum,halte,ns,321812,72463,30620,
Alkmaar,mega,ns,1238932,216886,572554,
Alkmaar Noord,basis,ns,1060069,101789,156297,
Almelo,plus,ns-other,1014690,174949,331454,
Almelo de Riet,basis,ns-other,949565,63256,130752,
Almere Buiten,plus,ns,1154970,41568,180075,
Almere Centrum,mega,ns,916551,373342,383477,
Almere Muziekwijk,basis,ns,1159205,155905,76253,
Almere Oostvaarders,basis,ns,1080268,11315,59613,
Almere Parkwijk,basis,ns,1020894,29707,89411,
Almere Poort,basis,ns,693703,272242,50106,
Alphen aan den Rijn,basis,ns,1451118,272532,224596,
Amersfoort Centraal,mega,ns-other,1420842,483026,375988,
Amersfoort Schothorst,basis,ns,911745,225023,101090,
Amersfoort Vathorst,basis,ns,891084,73309,95184,
Amsterdam Amstel,plus,ns,1323786,378812,326538,
Amsterdam Bijlmer ArenA,plus,ns,778691,1384623,668868,
Amsterdam Centraal,kathedraal,ns,1628467,701585,1207189,
Amsterdam Holendrecht,basis,ns,813323,399688,699880,
Amsterdam Lelylaan,plus,ns,1764018,174335,266004,
Amsterdam Muiderpoort,basis,ns,2883616,149554,545902,
Amsterdam RAI,basis,ns,1032104,395178,534456,
Amsterdam Science Park,basis,ns,828649,230753,246214,
Amsterdam Sloterdijk,mega,ns,430413,1252122,306785,
Amsterdam Zuid,mega,ns,1348351,1109472,1083946,
Anna Paulowna,basis,ns,343838,90275,30271,
Apeldoorn,plus,ns-other,1256125,218068,419682,
Apeldoorn De Maten,halte,other,798241,25290,196423,
Apeldoorn Osseveld,basis,ns,1187064,49445,161457,
Appingedam,halte,other,444207,46833,70597,
Arkel,halte,other,186709,79852,29018,
Arnemuiden,halte,ns,341332,55504,29625,
Arnhem Centraal,mega,ns-other,1346539,455284,466646,
Arnhem Presikhaaf,halte,ns,1131758,192617,233467,
Arnhem Velperpoort,halte,ns-other,2188704,544012,508532,
Arnhem Zuid,basis,ns,1342008,30671,65298,
Assen,basis,ns,1069604,297076,378191,
Baarn,basis,ns,916996,95633,112142,
Bad Nieuweschans,halte,other,138675,76309,23131,
Baflo,halte,other,207106,57869,16648,
Barendrecht,basis,ns,679517,483272,104008,
Barneveld Centrum,halte,other,1001229,193237,225023,
Barneveld Noord,halte,other,123943,629044,31938,
Barneveld Zuid,halte,other,480084,64608,51631,
Bedum,halte,other,323419,41062,55114,
Beek-Elsloo,basis,other,515493,370293,121829,
Beesd,halte,other,28603,96187,20127,
Beilen,basis,ns,397329,132207,81257,
Bergen op Zoom,basis,ns,1436187,233356,406137,
Best,basis,ns,1217904,50515,112487,
Beverwijk,basis,ns,821968,449732,333302,
Bilthoven,basis,ns,881837,105685,156257,
Blerick,halte,ns-other,731734,244693,118381,
Bloemendaal,basis,ns,876097,21823,92828,
Bodegraven,basis,ns,1068249,130129,116110,
Borne,basis,ns-other,1060346,93883,115944,
Boskoop,basis,ns,686990,80848,63686,
Boskoop Snijdelwijk,halte,ns,730898,46813,38930,
Boven Hardinxveld,halte,other,75977,46348,6604,
Bovenkarspel Flora,halte,ns,557150,206846,44523,
Bovenkarspel-Grootebroek,basis,ns,864804,99423,123840,
Boxmeer,basis,other,599938,359429,163157,
Boxtel,basis,ns,712296,407946,149823,
Breda,mega,ns,1331098,376496,468761,
Breda Prinsenbeek,basis,ns,825101,165119,66110,
Breukelen,basis,ns,118735,202464,25579,
Brummen,halte,ns,524396,82876,70057,
Buitenpost,basis,other,257000,98168,75327,
Bunde,halte,other,567309,30094,28560,
Bunnik,basis,ns,492819,180288,65518,
Bussum Zuid,basis,ns,819366,74777,142189,
Capelle Schollevaar,basis,ns,900587,340804,101813,
Castricum,basis,ns,671927,43813,86911,
Chevremont,halte,other,668027,32811,111531,
Coevorden,basis,other,512954,248024,157587,
Cuijk,basis,other,547828,327224,115700,
Culemborg,basis,ns,674260,238680,162735,
